GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
47001020202,2003,202.02,"Anderson County, Tennessee",3999.86,6.52,27.92,307.17,30710.99,79864.4,14.39,88.53,4.7,1.73,0.19,3.25,0.0,1.54,0.06,536.0,12.0,12.0,2.24,2.24,0,0,1
47001020202,2004,202.02,"Anderson County, Tennessee",3999.86,6.52,27.92,307.17,30710.99,79864.4,14.39,88.53,4.7,1.73,0.19,3.25,0.0,1.54,0.06,561.0,15.0,7.0,1.25,2.67,0,0,1
47001020202,2005,202.02,"Anderson County, Tennessee",4150.96,1.31,27.63,368.05,30752.5,108865.75,14.89,83.44,6.17,3.92,0.0,5.49,0.0,0.97,0.0,586.0,8.0,5.0,0.85,1.37,0,0,1
47001020202,2006,202.02,"Anderson County, Tennessee",4150.96,1.31,27.63,368.05,30752.5,108865.75,14.89,83.44,6.17,3.92,0.0,5.49,0.0,0.97,0.0,611.0,9.0,9.0,1.47,1.47,0,0,1
47001020202,2007,202.02,"Anderson County, Tennessee",4150.96,1.31,27.63,368.05,30752.5,108865.75,14.89,83.44,6.17,3.92,0.0,5.49,0.0,0.97,0.0,636.0,8.0,8.0,1.26,1.26,0,0,1
47001020202,2008,202.02,"Anderson County, Tennessee",4150.96,1.31,27.63,368.05,30752.5,108865.75,14.89,83.44,6.17,3.92,0.0,5.49,0.0,0.97,0.0,661.0,15.0,14.0,2.12,2.27,0,0,1
47001020202,2009,202.02,"Anderson County, Tennessee",4150.96,1.31,27.63,368.05,30752.5,108865.75,14.89,83.44,6.17,3.92,0.0,5.49,0.0,0.97,0.0,686.0,,,,,0,0,0
47001020300,2000,203.0,"Anderson County, Tennessee",3932.0,11.19,24.28,556.0,36768.0,74600.0,22.9,89.98,6.0,1.63,0.38,0.92,0.05,0.94,0.1,419.0,5.0,5.0,1.19,1.19,0,0,1
47001020300,2001,203.0,"Anderson County, Tennessee",3932.0,11.19,24.28,556.0,36768.0,74600.0,22.9,89.98,6.0,1.63,0.38,0.92,0.05,0.94,0.1,423.0,15.0,12.0,2.84,3.55,0,0,1
47001020300,2002,203.0,"Anderson County, Tennessee",3932.0,11.19,24.28,556.0,36768.0,74600.0,22.9,89.98,6.0,1.63,0.38,0.92,0.05,0.94,0.1,426.0,14.0,12.0,2.82,3.28,0,0,1
47001020300,2003,203.0,"Anderson County, Tennessee",3932.0,11.19,24.28,556.0,36768.0,74600.0,22.9,89.98,6.0,1.63,0.38,0.92,0.05,0.94,0.1,430.0,13.0,12.0,2.79,3.02,0,0,1
47001020300,2004,203.0,"Anderson County, Tennessee",3932.0,11.19,24.28,556.0,36768.0,74600.0,22.9,89.98,6.0,1.63,0.38,0.92,0.05,0.94,0.1,433.0,9.0,7.0,1.62,2.08,0,0,1
47001020300,2005,203.0,"Anderson County, Tennessee",3592.0,2.45,24.56,657.0,45288.0,94000.0,28.4,81.29,6.88,6.24,1.48,0.0,0.0,2.95,1.17,437.0,14.0,7.0,1.6,3.2,0,0,1
47001020300,2006,203.0,"Anderson County, Tennessee",3592.0,2.45,24.56,657.0,45288.0,94000.0,28.4,81.29,6.88,6.24,1.48,0.0,0.0,2.95,1.17,441.0,5.0,5.0,1.13,1.13,0,0,1
47001020300,2007,203.0,"Anderson County, Tennessee",3592.0,2.45,24.56,657.0,45288.0,94000.0,28.4,81.29,6.88,6.24,1.48,0.0,0.0,2.95,1.17,444.0,8.0,8.0,1.8,1.8,0,0,1
47001020300,2008,203.0,"Anderson County, Tennessee",3592.0,2.45,24.56,657.0,45288.0,94000.0,28.4,81.29,6.88,6.24,1.48,0.0,0.0,2.95,1.17,448.0,11.0,11.0,2.46,2.46,0,0,1
47001020300,2009,203.0,"Anderson County, Tennessee",3592.0,2.45,24.56,657.0,45288.0,94000.0,28.4,81.29,6.88,6.24,1.48,0.0,0.0,2.95,1.17,451.0,,,,,0,0,0
47001020400,2000,204.0,"Anderson County, Tennessee",4433.43,12.09,34.91,441.08,34136.74,80389.83,27.8,88.72,6.11,2.13,0.43,0.54,0.0,1.93,0.14,747.0,14.0,12.0,1.61,1.87,0,0,1
47001020400,2001,204.0,"Anderson County, Tennessee",4433.43,12.09,34.91,441.08,34136.74,80389.83,27.8,88.72,6.11,2.13,0.43,0.54,0.0,1.93,0.14,744.0,46.0,35.0,4.7,6.18,0,0,1
47001020400,2002,204.0,"Anderson County, Tennessee",4433.43,12.09,34.91,441.08,34136.74,80389.83,27.8,88.72,6.11,2.13,0.43,0.54,0.0,1.93,0.14,741.0,32.0,27.0,3.64,4.32,0,0,1
47001020400,2003,204.0,"Anderson County, Tennessee",4433.43,12.09,34.91,441.08,34136.74,80389.83,27.8,88.72,6.11,2.13,0.43,0.54,0.0,1.93,0.14,738.0,22.0,16.0,2.17,2.98,0,0,1
47001020400,2004,204.0,"Anderson County, Tennessee",4433.43,12.09,34.91,441.08,34136.74,80389.83,27.8,88.72,6.11,2.13,0.43,0.54,0.0,1.93,0.14,735.0,30.0,11.0,1.5,4.08,0,0,1
47001020400,2005,204.0,"Anderson County, Tennessee",4397.44,3.04,35.16,606.98,39489.94,96098.8,30.11,85.51,6.35,4.0,0.94,2.14,0.0,1.06,0.0,732.0,24.0,17.0,2.32,3.28,0,0,1
47001020400,2006,204.0,"Anderson County, Tennessee",4397.44,3.04,35.16,606.98,39489.94,96098.8,30.11,85.51,6.35,4.0,0.94,2.14,0.0,1.06,0.0,729.0,32.0,32.0,4.39,4.39,0,0,1
